sta,lat,lon
Seysses,43.503333,1.259722
Shagaya_Park,29.209072,47.060528
Shelton,40.750064,-98.760286
Shirahama,33.69345,135.356917
Shouxian,32.558383,116.78195
Sigma_Space_Corp,38.953,-76.836472
Silpakorn_Univ,13.819308,100.041183
Simonstown_IMT,-34.19272,18.44567
Singapore,1.297667,103.780383
Sioux_Falls,43.736481,-96.625991
Sir_Bu_Nuair,25.217825,54.231269
Sirmione_Museo_GC,45.500278,10.605833
Skukuza,-24.9917,31.5875
SMART,24.249321,55.612064
SMEX,41.936,-93.664
SMHI,58.58,16.15
Smith_Island_CBF,37.969183,-76.02385
Sodankyla,67.36662,26.62957
Solar_Village,24.906933,46.397286
Solwezi,-12.170667,26.363333
Son_La,21.3322,103.905151
Songkhla_Met_Sta,7.184387,100.604583
Sopot,54.450833,18.564722
SP_Bayboro,27.76155,-82.633
SP-EACH,-23.48163,-46.49967
SSA_YJP_BOREAS,53.674999,-104.650002
St_Louis_University,38.636342,-90.231552
Stennis,30.368014,-89.616667
Sterling,38.98333,-77.46667
Strzyzow,49.8786,21.8613
Suffield,50.28155,-111.130771
Surinam,5.8,-55.2
T0_MAX_MEX,19.489944,-99.1485
T1_MAX_MEX,19.703067,-98.98195
Tabernas_PSA-DLR,37.09076,-2.35818
Table_Mountain,40.125,-105.237
TABLE_MOUNTAIN_CA,34.38,-117.68
Tahir,5.411,100.1967
Tai_Ping,10.3755,114.362
Taichung,24.106167,120.49133
Taihu,31.421,120.215333
Taipei_CWB,25.014683,121.53837
Tallahassee,30.445833,-84.29935
Tamanrasset_INM,22.79,5.53
Tampico_MAX_MEX,22.278283,-97.864167
Tarbes_Etal,43.224033,0.049283
Taylor_Ranch_TWRS,45.1035,-114.84995
Technion_Haifa_IL,32.77587,35.0249
Teide,28.27,-16.639
Tenosique,17.4875,-91.425556
THALA,35.55,8.683333
The_Hague,52.11048,4.32682
Thessaloniki,40.63,22.96
Thompson,55.799999,-97.849998
Thompson_Farm,43.108772,-70.948344
Thule,76.516102,-68.769001
Tiksi,71.586917,128.921417
Timisoara,45.74626,21.22736
Tinga_Tingana,-28.975833,139.990933
Tizi_Ouzou,36.698611,4.055833
Tomsk,56.475351,85.04806
Tomsk_22,56.417,84.074
Toravere,58.264895,26.466823
Toronto,43.79,-79.47
Toulon,43.135556,6.009444
TOULOUSE,43.561944,1.476389
Toulouse_MF,43.57261,1.37432
Toyama,36.699,137.187
